@HD	VN:1.6
@SQ	SN:20	LN:63025520	M5:0dec9660ec1efaaf33281c0d5ea2560f	UR:file:/storage/zhenghoufengLab/chenxiang/reference/hg19_genome/hg19_chr20.fa
CONTIG	START	END	GC_CONTENT
20	68062	68561	0.460000
20	68562	68658	0.453608
20	76395	76894	0.348000
20	76895	77394	0.382000
20	77395	77894	0.382000
20	77895	77985	0.329670
20	122980	123479	0.470000
20	123480	123577	0.489796
20	125805	126304	0.358000
20	126305	126642	0.473373
20	137844	138343	0.480000
20	138344	138484	0.354610
20	139164	139663	0.412000
20	139664	140054	0.342711
20	168243	168742	0.382000
20	168743	169009	0.449438
20	169965	170464	0.424000
20	170465	170602	0.543478
20	207648	208147	0.444000
20	208148	208237	0.455556
20	209668	210167	0.380000
20	210168	210667	0.444000
20	210668	210777	0.390909
20	238114	238613	0.508000
20	238614	238727	0.368421
20	239467	239966	0.478000
20	239967	240466	0.470000
20	240467	240966	0.450000
20	240967	241466	0.272000
20	241467	241966	0.346000
20	241967	241986	0.650000
20	251253	251752	0.540000
20	251753	252158	0.527094
20	256358	256857	0.544000
20	256858	256977	0.533333
20	257183	257602	0.561905
20	257603	257826	0.571429
20	257827	258274	0.571429
20	258720	259219	0.522000
20	259220	259320	0.455446
20	259562	260061	0.750000
20	260062	260221	0.656250
20	264353	264852	0.526000
20	264853	264972	0.533333
20	269949	270448	0.456000
20	270449	270567	0.352941
20	270649	271087	0.555809
20	271088	271587	0.506000
20	271588	271669	0.353659
20	277960	278459	0.714000
20	278460	278959	0.720000
20	278960	279459	0.632000
20	279460	279959	0.442000
20	279960	280459	0.458000
20	280460	280959	0.434000
20	280960	281213	0.433071
20	300080	300579	0.400000
20	300580	301079	0.454000
20	301080	301579	0.466000
20	301580	301675	0.531250
20	302771	303270	0.456000
20	303271	303459	0.402116
20	305535	306034	0.556000
20	306035	306055	0.761905
20	306056	306555	0.800000
20	306556	307055	0.748000
20	307056	307555	0.718000
20	307556	308055	0.710000
20	308056	308555	0.604000
20	308556	309055	0.590000
20	309056	309555	0.516000
20	309556	310055	0.486000
20	310056	310555	0.532000
20	310556	311055	0.530000
20	311056	311122	0.626866
20	327119	327618	0.620000
20	327619	327931	0.757188
20	327932	328352	0.641330
20	328353	328852	0.712000
20	328853	328957	0.723810
20	329629	330128	0.498000
20	330129	330133	0.400000
20	330134	330633	0.560000
20	330634	330726	0.268817
20	333603	334102	0.592000
20	334103	334602	0.578000
20	334603	335102	0.562000
20	335103	335602	0.590000
20	335603	335762	0.456250
20	361022	361521	0.610000
20	361522	361875	0.754237
20	361876	362375	0.700000
20	362376	362394	0.789474
20	362826	363325	0.510000
20	363326	363520	0.492308
20	368404	368903	0.544000
20	368904	369195	0.565068
20	371680	372179	0.608000
20	372180	372473	0.561224
20	376591	377090	0.560000
20	377091	377590	0.594000
20	377591	378090	0.522000
20	378091	378453	0.440771
20	388443	388942	0.808000
20	388943	389442	0.690000
20	389443	389673	0.636364
20	390274	390773	0.544000
20	390774	390862	0.382022
20	390863	391362	0.462000
20	391363	391658	0.331081
20	397919	398319	0.586035
20	398320	398819	0.626000
20	398820	398824	0.800000
20	399740	400156	0.642686
20	400157	400625	0.682303
20	401264	401763	0.714000
20	401764	401925	0.635802
20	402520	403019	0.580000
20	403020	403132	0.495575
20	407706	408205	0.526000
20	408206	408386	0.613260
20	408884	409383	0.560000
20	409384	409413	0.566667
20	409414	409913	0.610000
20	409914	409988	0.533333
20	410743	411242	0.594000
20	411243	411742	0.550000
20	411743	412242	0.544000
20	412243	412742	0.568000
20	412743	413031	0.532872
20	415873	416372	0.500000
20	416373	416872	0.504000
20	416873	417372	0.462000
20	417373	417872	0.518000
20	417873	418372	0.448000
20	418373	418872	0.436000
20	418873	419372	0.544000
20	419373	419618	0.520325
20	419619	420118	0.526000
20	420119	420189	0.478873
20	420641	421140	0.498000
20	421141	421283	0.412587
20	421981	422416	0.477064
20	422417	422916	0.498000
20	422917	422937	0.428571
20	425443	425942	0.490000
20	425943	426024	0.487805
20	428282	428781	0.434000
20	428782	428968	0.438503
20	442729	443228	0.800000
20	443229	443427	0.532663
20	452891	453390	0.464000
20	453391	453890	0.484000
20	453891	454390	0.500000
20	454391	454890	0.468000
20	454891	455390	0.396000
20	455391	455890	0.396000
20	455891	456390	0.434000
20	456391	456890	0.486000
20	456891	457390	0.512000
20	457391	457890	0.498000
20	457891	458390	0.528000
20	458391	458890	0.420000
20	458891	459390	0.492000
20	459391	459890	0.424000
20	459891	460390	0.376000
20	460391	460890	0.346000
20	460891	461390	0.420000
20	461391	461890	0.360000
20	461891	462390	0.418000
20	462391	462890	0.398000
20	462891	463390	0.446000
20	463391	463890	0.420000
20	463891	464390	0.432000
20	464391	464890	0.462000
20	464891	464970	0.362500
20	466769	467268	0.414000
20	467269	467356	0.318182
20	467820	468319	0.472000
20	468320	468469	0.433333
20	469071	469570	0.378000
20	469571	469672	0.362745
20	470173	470672	0.336000
20	470673	470775	0.514563
20	472647	473146	0.372000
20	473147	473258	0.330357
20	476112	476611	0.408000
20	476612	476696	0.400000
20	478114	478613	0.366000
20	478614	478674	0.311475
20	479648	480147	0.408000
20	480148	480199	0.596154
20	480226	480725	0.392000
20	480726	480828	0.378641
20	485511	486010	0.320000
20	486011	486123	0.566372
20	488844	489343	0.416000
20	489344	489554	0.345972
20	508326	508825	0.420000
20	508826	508943	0.449153
20	524065	524564	0.686000
20	524565	524684	0.408333
20	584386	584885	0.500000
20	584886	585385	0.562000
20	585386	585559	0.477011
20	590106	590605	0.686000
20	590606	591105	0.806000
20	591106	591160	0.781818
20	627017	627516	0.440000
20	627517	628016	0.494000
20	628017	628516	0.488000
20	628517	629016	0.478000
20	629017	629516	0.574000
20	629517	629811	0.464407
20	633369	633868	0.692000
20	633869	634094	0.796460
20	641989	642488	0.500000
20	642489	642988	0.670000
20	642989	643488	0.588000
20	643489	643988	0.580000
20	643989	644488	0.708000
20	644489	644988	0.744000
20	644989	645355	0.686649
20	655862	656361	0.730000
20	656362	656696	0.686567
20	740473	740972	0.498000
20	740973	741472	0.538000
20	741473	741972	0.644000
20	741973	742113	0.645390
20	742114	742613	0.630000
20	742614	742718	0.619048
20	743891	744390	0.560000
20	744391	744890	0.546000
20	744891	744897	0.285714
20	745601	746100	0.520000
20	746101	746600	0.588000
20	746601	747100	0.492000
20	747101	747228	0.445313
20	748690	749189	0.464000
20	749190	749394	0.604878
20	756347	756846	0.588000
20	756847	756878	0.437500
20	814107	814606	0.712000
20	814607	814844	0.638655
20	816445	816944	0.458000
20	816945	817007	0.380952
20	819847	820346	0.488000
20	820347	820456	0.509091
20	821667	822166	0.730000
20	822167	822209	0.627907
20	825035	825534	0.618000
20	825535	826034	0.724000
20	826035	826534	0.622000
20	826535	827034	0.548000
20	827035	827172	0.565217
20	850292	850791	0.540000
20	850792	851291	0.478000
20	851292	851791	0.484000
20	851792	852291	0.560000
20	852292	852791	0.506000
20	852792	853291	0.474000
20	853292	853791	0.600000
20	853792	854013	0.671171
20	854676	855175	0.606000
20	855176	855307	0.606061
20	858553	859052	0.612000
20	859053	859220	0.422619
20	860139	860638	0.510000
20	860639	860741	0.407767
20	861563	862062	0.548000
20	862063	862179	0.529915
20	865470	865969	0.634000
20	865970	866218	0.602410
20	868710	869209	0.598000
20	869210	869332	0.504065
20	870605	871104	0.614000
20	871105	871261	0.554140
20	896298	896797	0.594000
20	896798	897227	0.593023
20	938845	939344	0.534000
20	939345	939844	0.614000
20	939845	940344	0.612000
20	940345	940844	0.520000
20	940845	941344	0.596000
20	941345	941359	0.533333
20	944327	944826	0.588000
20	944827	945013	0.508021
20	947566	948065	0.570000
20	948066	948207	0.528169
20	948342	948841	0.572000
20	948842	949031	0.484211
20	982478	982977	0.728000
20	982978	983204	0.775330
20	1093621	1094120	0.536000
20	1094121	1094302	0.538462
20	1098244	1098743	0.438000
20	1098744	1098828	0.541176
20	1098829	1099167	0.513274
20	1099168	1099667	0.658000
20	1099668	1099795	0.585938
20	1105890	1106389	0.482000
20	1106390	1106543	0.428571
20	1107818	1108317	0.406000
20	1108318	1108401	0.500000
20	1115513	1116012	0.582000
20	1116013	1116199	0.491979
20	1143523	1144022	0.462000
20	1144023	1144077	0.581818
20	1144711	1145210	0.558000
20	1145211	1145386	0.556818
20	1145422	1145921	0.544000
20	1145922	1146421	0.446000
20	1146422	1146921	0.512000
20	1146922	1147421	0.492000
20	1147422	1147921	0.366000
20	1147922	1148421	0.374000
